DOCUMENT -> https://www.theguardian.com/uk/sport

bring : 0.00128700
tenni : 0.00064350
rider : 0.00064350
via : 0.00064350
fit : 0.00128700
crossword : 0.00128700
score : 0.00064350
music : 0.00128700
record : 0.00128700
absent : 0.00064350
beasant : 0.00128700
lloyd : 0.00064350
happen : 0.00064350
eclips : 0.00128700
ipl : 0.00128700
antonio : 0.00064350
past : 0.00128700
stade : 0.00128700
secur : 0.00128700
former : 0.00064350
dose : 0.00128700
ditalia : 0.00128700
icon : 0.00128700
polici : 0.00128700
result : 0.00128700
search : 0.00128700
golf : 0.00064350
domin : 0.00064350
celebr : 0.00128700
term : 0.00128700
godolphin : 0.00128700
close : 0.00064350
hand : 0.00128700
saint : 0.00128700
set : 0.00128700
sex : 0.00128700
union : 0.00064350
food : 0.00128700
stage : 0.00064350
meet : 0.00128700
fighter : 0.00128700
conveyor : 0.00128700
die : 0.00128700
eager : 0.00128700
oldham : 0.00128700
ladi : 0.00128700
stun : 0.00128700
good : 0.00064350
releg : 0.00128700
won : 0.00064350
club : 0.00128700
pai : 0.00064350
finish : 0.00064350
add : 0.00128700
oyston : 0.00128700
mcgregor : 0.00064350
european : 0.00128700
giroud : 0.00064350
vision : 0.00128700
wire : 0.00128700
month : 0.00064350
allround : 0.00128700
success : 0.00128700
final : 0.00064350
activ : 0.00128700
fa : 0.00064350
compet : 0.00064350
famili : 0.00128700
content : 0.00064350
laser : 0.00128700
rate : 0.00128700
allardyc : 0.00128700
podcast : 0.00064350
end : 0.00128700
promot : 0.00064350
spanish : 0.00064350
furthest : 0.00128700
six : 0.00064350
relax : 0.00128700
bournemouth : 0.00128700
grand : 0.00064350
home : 0.00064350
crap : 0.00128700
brillianc : 0.00128700
form : 0.00128700
interpret : 0.00128700
victori : 0.00128700
limbo : 0.00128700
mcilroi : 0.00128700
select : 0.00064350
wagner : 0.00128700
hope : 0.00128700
overshadow : 0.00064350
llorent : 0.00128700
stadium : 0.00064350
equalis : 0.00064350
brave : 0.00128700
flow : 0.00128700
cormier : 0.00128700
belt : 0.00128700
kerr : 0.00128700
manag : 0.00128700
surviv : 0.00128700
winner : 0.00064350
experi : 0.00128700
sawgrass : 0.00128700
issu : 0.00128700
champion : 0.00064350
women : 0.00064350
chelsea : 0.00064350
crystal : 0.00128700
weekend : 0.00128700
saracen : 0.00064350
eddi : 0.00128700
eight : 0.00064350
defeat : 0.00064350
pictur : 0.00064350
world : 0.00064350
top : 0.00064350
speak : 0.00064350
mahrez : 0.00064350
guardian : 0.00064350
stand : 0.00128700
rafael : 0.00128700
columnist : 0.00128700
break : 0.00128700
strike : 0.00128700
premier : 0.00064350
excus : 0.00128700
health : 0.00064350
draw : 0.00064350
intrigu : 0.00128700
citi : 0.00064350
slip : 0.00064350
vettel : 0.00064350
report : 0.00128700
mbm : 0.00128700
return : 0.00128700
sign : 0.00064350
obituari : 0.00128700
motiv : 0.00064350
hamilton : 0.00064350
jone : 0.00064350
trial : 0.00128700
spur : 0.00064350
radio : 0.00128700
pochettino : 0.00128700
new : 0.00064350
todai : 0.00064350
swan : 0.00128700
eden : 0.00064350
derbi : 0.00064350
guardiola : 0.00064350
rememb : 0.00128700
real : 0.00128700
film : 0.00128700
tool : 0.00128700
feed : 0.00064350
dream : 0.00064350
true : 0.00064350
try : 0.00064350
heat : 0.00128700
busi : 0.00064350
seal : 0.00064350
box : 0.00064350
media : 0.00128700
leipzig : 0.00128700
fiver : 0.00128700
switch : 0.00064350
head : 0.00128700
design : 0.00128700
ok : 0.00128700
on : 0.00128700
mitchel : 0.00128700
control : 0.00128700
super : 0.00128700
sport : 0.00064350
cultur : 0.00064350
led : 0.00128700
injuri : 0.00128700
instagram : 0.00064350
goalkeep : 0.00128700
environ : 0.00064350
factori : 0.00128700
helen : 0.00128700
password : 0.00128700
len : 0.00128700
fire : 0.00128700
runner : 0.00128700
edit : 0.00064350
remain : 0.00128700
australia : 0.00064350
tiger : 0.00128700
sebastian : 0.00128700
rb : 0.00128700
alex : 0.00128700
sear : 0.00128700
lewi : 0.00064350
boost : 0.00128700
madrid : 0.00064350
cup : 0.00064350
hussain : 0.00064350
debat : 0.00128700
scan : 0.00128700
comeback : 0.00128700
kei : 0.00128700
monaco : 0.00128700
moment : 0.00128700
heckler : 0.00128700
bouchard : 0.00064350
tottenham : 0.00128700
juventu : 0.00128700
free : 0.00064350
arm : 0.00128700
email : 0.00064350
st : 0.00128700
art : 0.00064350
triumph : 0.00128700
intern : 0.00128700
riot : 0.00064350
amid : 0.00064350
team : 0.00064350
tour : 0.00064350
stori : 0.00064350
classic : 0.00064350
kick : 0.00064350
watch : 0.00128700
cricket : 0.00064350
obrien : 0.00128700
assist : 0.00128700
redmond : 0.00128700
fashion : 0.00064350
stoke : 0.00064350
tv : 0.00128700
monei : 0.00128700
prix : 0.00064350
run : 0.00064350
gloucest : 0.00128700
kevin : 0.00128700
manchest : 0.00064350
view : 0.00064350
late : 0.00064350
jamaica : 0.00064350
uk : 0.00064350
champ : 0.00128700
tech : 0.00064350
fifield : 0.00128700
doubl : 0.00064350
cairnei : 0.00128700
develop : 0.00128700
look : 0.00064350
funni : 0.00128700
giro : 0.00064350
repres : 0.00128700
aliv : 0.00128700
reportedli : 0.00064350
clermont : 0.00064350
guid : 0.00064350
vital : 0.00128700
support : 0.00064350
nadal : 0.00064350
book : 0.00128700
rule : 0.00128700
video : 0.00064350
sharapova : 0.00064350
life : 0.00064350
speed : 0.00128700
defend : 0.00064350
leagu : 0.00064350
race : 0.00064350
europ : 0.00128700
djokov : 0.00064350
bond : 0.00128700
target : 0.00128700
popup : 0.00128700
chang : 0.00064350
comment : 0.00064350
rise : 0.00128700
reach : 0.00064350
safeti : 0.00128700
arsen : 0.00064350
liverpool : 0.00128700
climb : 0.00128700
plai : 0.00064350
twitter : 0.00064350
fan : 0.00064350
review : 0.00064350
season : 0.00064350
catch : 0.00064350
cont : 0.00064350
tophalf : 0.00128700
sundai : 0.00128700
goal : 0.00064350
leicest : 0.00064350
sprinter : 0.00128700
overhead : 0.00064350
pressur : 0.00128700
iran : 0.00128700
playoff : 0.00128700
toward : 0.00128700
memori : 0.00064350
penalti : 0.00064350
happi : 0.00064350
card : 0.00064350
love : 0.00128700
tabl : 0.00064350
pant : 0.00128700
fulham : 0.00064350
cherri : 0.00128700
birmingham : 0.00128700
ghost : 0.00128700
marciano : 0.00064350
power : 0.00128700
regular : 0.00128700
disput : 0.00064350
franai : 0.00128700
lemar : 0.00128700
subscrib : 0.00064350
bigger : 0.00064350
facebook : 0.00064350
castleford : 0.00128700
teambyteam : 0.00128700
observ : 0.00064350
lead : 0.00064350
opinion : 0.00064350
lifestyl : 0.00064350
naughton : 0.00128700
help : 0.00064350
cycl : 0.00128700
robl : 0.00128700
struggl : 0.00064350
depth : 0.00128700
fellow : 0.00128700
garden : 0.00128700
travel : 0.00064350
athlet : 0.00128700
date : 0.00064350
beal : 0.00128700
dick : 0.00128700
prefer : 0.00128700
own : 0.00064350
section : 0.00128700
pole : 0.00064350
eco : 0.00128700
argentina : 0.00064350
threaten : 0.00064350
beat : 0.00064350
titl : 0.00064350
vinc : 0.00128700
macpherson : 0.00128700
england : 0.00064350
burnlei : 0.00128700
refere : 0.00128700
